代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,量比,今开,最高,最低,昨收,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,市盈率动,市盈率TTM,市盈率静,市净率,每股收益,每股净资产,每股公积金,每股未分配利润,加权净资产收益率,毛利率,资产负债率,营业收入,营业收入同比增长,归属净利润,归属净利润同比增长,报告期,总股本,已流通股份,总市值,流通市值,所处行业,上市时间
920819,颖泰生物,4.44,1.14,0.05,239326.0,106702667.4,3.64,1.98,1.09,4.38,4.52,4.36,4.39,-0.22,-0.22,20.98,25.07,579.39,-9.8,-9.27,1.08,,4.127882775,0.0,0.0,0.05,13.29511679,57.413945188,1387275846.94,0.9604244294,2348404.41,107.890040597247,2025-03-31,1225800000.0,1207582500.0,5442552000.0,5361666300.0,农药兽药,2020-07-27
920799,艾融软件,59.06,-1.32,-0.79,40951.0,243194591.01,1.77,3.48,0.53,59.0,60.06,59.0,59.85,-0.03,-0.1,0.25,14.52,121.43,155.49,188.65,31.17,,1.894778468,0.0,0.0,6.13,32.3593513906,64.1584531561,86476197.32,-36.3245952709,25507551.43,121.730449980454,2025-03-31,209780050.0,117784571.0,12389609753.0,6956356763.0,软件开发,2020-07-27
920682,球冠电缆,10.12,0.1,0.01,35858.0,36224495.25,1.58,1.9,0.55,10.12,10.2,10.04,10.11,0.0,0.1,27.46,58.62,51.07,25.69,24.71,3.05,,3.321535228,0.0,0.0,1.43,10.6773752552,56.1343538632,641973029.81,5.6347245071,16075919.7,-24.113437756037,2025-03-31,324480000.0,188324422.0,3283737600.0,1905843151.0,电网设备,2020-07-27
920489,佳先股份,23.91,-1.2,-0.29,41954.0,100836329.42,2.02,4.9,0.72,24.21,24.34,23.85,24.2,-0.08,0.0,1.01,45.79,145.92,508.2,277.91,6.49,,3.685375255,0.0,0.0,1.12,11.6239344583,49.7834299195,128625181.29,-12.3427699498,5590081.46,-48.763056937432,2025-03-31,136459200.0,85693749.0,3262739472.0,2048937539.0,化学制品,2020-07-27
920445,龙竹科技,10.27,-0.1,-0.01,15910.0,16308281.78,2.04,1.51,0.54,10.28,10.35,10.14,10.28,0.0,0.29,15.26,40.3,52.22,76.49,92.37,4.62,,2.223958851,0.0,0.0,2.07,26.2455577229,30.0628565388,87614871.83,43.275526019,7224272.13,88.505549593686,2025-03-31,146930025.0,105262791.0,1508971357.0,1081048864.0,家用轻工,2020-07-27
920167,同享科技,20.65,-0.24,-0.05,11240.0,23215926.29,1.55,1.72,0.79,20.83,20.83,20.51,20.7,-0.1,-0.15,-19.52,7.83,-174.42,360.93,53.57,3.71,,5.567522676,0.0,0.0,-0.53,5.6934844272,73.6870805879,717636302.56,47.4797601694,-3247045.14,-109.909924536879,2025-03-31,109706125.0,65274437.0,2265431481.0,1347917124.0,光伏设备,2020-07-27
920128,胜业电气,36.25,-1.44,-0.53,27033.0,98620180.48,2.88,13.06,0.46,36.88,37.07,36.01,36.78,0.0,0.0,4.17,25.96,78.19,62.69,61.35,5.51,,6.582707919,0.0,0.0,1.78,23.6659345596,38.2549540866,132177234.08,3.0036591142,9409729.45,-9.801662579531,2025-03-31,81190000.0,20700000.0,2943137500.0,750375000.0,电子元件,2024-11-29
920118,太湖远大,28.36,0.04,0.01,6304.0,17945136.42,1.76,2.87,1.64,28.5,28.74,28.24,28.35,-0.07,-0.11,-3.44,16.23,118.45,24.51,20.47,2.42,,11.699010762,0.0,0.0,0.51,6.9705937518,51.162443841300004,293798577.27,-13.1366975819,3046477.43,-79.214177468527,2025-03-31,50896000.0,21964000.0,1443410560.0,622899040.0,塑料制品,2024-08-22
920116,星图测控,77.95,0.96,0.74,79678.0,619922182.86,8.42,21.78,1.75,79.5,81.5,75.0,77.21,-0.05,0.1,21.85,1510.54,232.31,144.43,146.57,24.13,,3.230013962,0.0,0.0,2.73,60.8640002756,27.0955511667,43550992.36,34.4924544905,13402708.99,10.352941036015,2025-03-31,159775000.0,36575000.0,12454461250.0,2851021250.0,航天航空,2025-01-02
920111,聚星科技,27.71,-1.21,-0.34,12312.0,34184329.26,1.93,3.34,0.81,28.06,28.15,27.61,28.05,-0.04,0.04,-8.21,15.84,45.74,34.87,37.06,4.95,,5.598794052,0.0,0.0,2.74,17.8022809439,31.0692637434,243417951.59,38.2405149577,23496404.46,44.967003311486,2025-03-31,155154500.0,36888500.0,4299331195.0,1022180335.0,电网设备,2024-11-11
