date,开盘,close,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,turnover
2022-12-29,999.26,992.72,999.95,992.34,31067,448831984.0,0.0,0.0,0.0,0.99
2022-12-30,993.31,995.64,996.74,990.87,42458,710128352.0,0.59,0.29,2.92,1.36
2023-01-03,995.3,990.12,995.47,984.28,38370,634973952.0,1.12,-0.55,-5.52,1.23
2023-01-04,989.05,992.88,994.31,986.82,38381,635042576.0,0.76,0.28,2.76,1.23
2023-01-05,993.63,998.83,999.73,989.72,43949,767775424.0,1.01,0.6,5.95,1.41
2023-01-06,998.35,1000.28,1002.72,996.26,40135,661902320.0,0.65,0.15,1.45,1.28
2023-01-09,1000.34,1008.11,1010.82,998.86,56222,875428096.0,1.2,0.78,7.83,1.8
2023-01-10,1007.85,1005.04,1009.21,999.16,32524,527018672.0,1.0,-0.3,-3.07,1.04
2023-01-11,1005.59,1008.37,1010.27,1001.46,40930,691030496.0,0.88,0.33,3.33,1.31
2023-01-12,1008.64,1008.69,1014.08,1006.47,34602,584983680.0,0.75,0.03,0.32,1.11
2023-01-13,1008.83,1015.9,1021.36,1008.83,63451,1260109072.0,1.24,0.71,7.21,2.03
2023-01-16,1017.32,1027.88,1031.16,1016.4,90900,1530803680.0,1.45,1.18,11.98,2.91
2023-01-17,1028.6,1032.13,1032.33,1024.63,54229,880027120.0,0.75,0.41,4.25,1.73
2023-01-18,1030.98,1026.31,1031.69,1025.68,56035,789347248.0,0.58,-0.56,-5.82,1.79
2023-01-19,1026.07,1028.75,1029.97,1022.47,50528,731708624.0,0.73,0.24,2.44,1.62
2023-01-20,1029.14,1035.71,1036.05,1029.14,30544,552645264.0,0.67,0.68,6.96,0.98
2023-01-30,1037.85,1026.92,1038.39,1026.26,69459,952984592.0,1.17,-0.85,-8.79,2.22
2023-01-31,1027.94,1028.53,1039.53,1026.7,65775,959901840.0,1.25,0.16,1.61,2.1
2023-02-01,1031.5,1035.76,1036.46,1027.83,61152,897072176.0,0.84,0.7,7.23,1.95
2023-02-02,1037.01,1037.79,1042.87,1031.38,57338,853612048.0,1.11,0.2,2.03,1.83
2023-02-03,1038.67,1032.56,1039.4,1030.12,36902,625748240.0,0.89,-0.5,-5.23,1.18
2023-02-06,1030.9,1027.31,1031.71,1024.91,58413,939138064.0,0.66,-0.51,-5.25,1.87
2023-02-07,1028.02,1029.21,1031.17,1027.13,37300,640296048.0,0.39,0.18,1.9,1.19
2023-02-08,1029.52,1024.25,1029.85,1023.23,22915,397348752.0,0.64,-0.48,-4.96,0.73
2023-02-09,1024.85,1027.5,1028.0,1023.87,32058,516218896.0,0.4,0.32,3.25,1.02
2023-02-10,1027.66,1028.78,1032.96,1026.41,55105,773722656.0,0.64,0.12,1.28,1.76
2023-02-13,1029.57,1029.91,1031.73,1025.08,42213,662643792.0,0.65,0.11,1.13,1.35
