code,name,change_5,change_10,change_20,change_60,rps5,rps10,rps20,rps60
sh880652,创新药,4.314517871807055,6.63154290511061,6.062204058314924,9.154945502238698,100.0,100.0,94.76,95.86
sh880768,新冠药概念,3.356606717769406,6.337301959313768,6.980418046991965,9.619357098851179,99.63,99.63,97.38,96.99
sh880920,免疫治疗,3.351179853261943,5.296683185377971,8.123543265769339,5.850167847372378,99.26,98.88,98.5,89.47
sh880681,减肥药,3.2459730791944086,4.4541502709161795,5.994752631523914,9.828004505675425,98.88,97.4,94.38,97.37
sh880729,CXO概念,3.1237404272470792,4.307397999184626,5.2197845652552255,-1.6819639663607222,98.51,96.65,88.39,57.14
sh880960,仿制药,2.544290882107414,4.440119788763663,2.2625731913752167,5.018523795953267,98.14,97.03,41.95,87.97
sh880623,肝炎概念,2.3160396186657106,5.010336975886731,4.065485856716644,3.309557507193661,97.77,97.77,72.28,81.58
sh880505,稀缺资源,2.088551398772842,1.2619125862635583,2.023653436105266,6.7809766713333275,97.4,89.59,39.7,92.11
sh880521,黄金概念,1.908541028364752,2.6247856145127813,2.6601812956002613,10.692285687041082,97.03,93.31,47.57,98.5
sh880766,幽门螺杆菌,1.7539152071034847,4.212156794163935,4.96477101157522,2.666781525738693,96.65,96.28,85.02,79.7
sh880929,维生素,1.3047846211686975,5.281160125799866,5.424318031672315,9.078481079861422,96.28,98.51,89.51,95.11
sh880557,生物疫苗,1.2309163815620083,3.134404995258855,4.853318294918063,4.289033157860822,95.91,94.8,83.15,86.84
sh880973,医美概念,0.9205926252416674,3.525664080563118,7.266745456287738,7.241625240837535,95.54,95.17,98.13,93.23
sh880530,合成生物,0.5740127160383413,3.83111300119261,5.990770363240006,9.92238654047548,95.17,95.54,94.01,97.74
sh880747,AI医疗概念,0.5129987879699094,0.5451179052434751,4.372810911538871,-5.0847307248691465,94.8,84.76,76.03,43.61
sh880707,宠物经济,0.5016167813614025,5.947906651516477,10.840343818580834,18.416810761701008,94.42,99.26,99.63,100.0
sh880606,辅助生殖,0.4993087373316163,2.597660122942691,4.376409161030015,-1.2029788046591494,94.05,92.94,76.4,62.03
sh880501,含H股,0.46933011934977564,0.944640282417164,2.66298590490901,3.4985269360269466,93.68,87.73,47.94,82.71
sh880666,可控核聚变,0.42741080890145167,5.023050326546286,11.400628492167364,15.85102481561469,93.31,98.14,100.0,99.62
sh880745,NMN概念,0.30989856593215404,3.8974306954366877,3.5582742333858164,9.507117546432053,92.94,95.91,66.29,96.62
sh880515,通达信88,0.2710851224661637,-0.1224615198210266,2.3583985241161454,-2.0775793676047094,92.57,80.3,43.07,55.64
sh880516,ST板块,0.18483493810177443,2.6954979566208737,6.40643725389487,8.461404223140011,92.19,93.68,96.25,93.98
sh880617,IP经济,0.0923264358188236,0.8226191503437175,3.939786306623305,-0.8308185590343409,91.82,86.62,71.16,63.16
sh880754,培育钻石,0.09026394422311235,1.2276891113419675,7.191191013233489,5.08480115028922,91.45,89.22,97.75,88.35
sh880913,基因概念,0.04472835655819907,1.4388845140569373,2.821286483233587,-2.790190477319343,91.08,90.33,51.31,52.63
sh880761,锂矿,-0.040068424540362635,-0.0954948016942625,5.2167988709912905,-1.4150226464419324,90.71,80.67,88.01,58.65
sh880976,新冠检测,-0.11933569794809751,0.7439356704615818,4.1766068526778,-2.52337355633917,90.33,85.87,73.78,54.51
sh880951,新能源车,-0.27795672850721154,-1.3384800481251347,4.542384714033143,-6.650540038758102,89.96,62.08,80.15,38.72
sh880709,人造肉,-0.46424997220060327,1.503439673420015,1.7871864605937926,-0.529693389019048,89.59,90.71,35.96,64.66
sh880621,NFT概念,-0.49258446217272933,-0.3965914572056195,3.550103540817373,-2.697184143244813,89.22,78.44,65.92,53.38
sh880727,盐湖提锂,-0.49603409494495265,0.9282163356468809,5.879018442003425,4.060863428705841,88.85,87.36,92.51,86.09
sh880910,草甘膦,-0.5089642768306479,1.9275880319652883,3.524688080700833,6.592002405291653,88.48,92.19,65.17,91.35
sh880634,含GDR,-0.5255470645001536,-1.2761276127612797,5.4742809734513065,-1.9499717209111145,88.1,63.2,90.64,56.02
sh880719,地摊经济,-0.5455936009664764,1.0212917559389911,1.9505130958028527,0.7729707051013168,87.73,88.48,38.95,69.55
sh880742,固态电池,-0.5521209524392501,-1.7322720344518872,4.880316058563805,-2.5877782041442865,87.36,55.76,83.52,53.76
sh880798,超级电容,-0.6443230158588831,-2.9301290300142613,2.645466971504229,1.7876028737798144,86.99,42.01,46.44,75.19
sh880716,光刻机,-0.7485316446005696,-0.6314668937619672,3.197176932567425,0.01971532781017693,86.62,73.23,59.18,66.92
sh880524,含可转债,-0.7832402642432235,-1.0540875009099504,3.328949468994935,-3.219099563523997,86.25,67.29,61.8,50.75
sh880974,烟草概念,-0.7979223465262697,-0.4029094427107527,3.7172186284808673,3.9387820433893994,85.87,78.07,68.91,85.34
sh880741,代糖概念,-0.8210147621870889,2.7292030976767467,6.139699951605104,10.768919965431722,85.5,94.05,95.13,98.87
sh880564,白酒概念,-0.8251095074889969,-0.4659758412772552,0.8636821439518716,0.4339983808633763,85.13,76.58,20.22,68.8
sh880585,风沙治理,-0.8426323973291905,0.6008653388857255,5.736265879885871,3.590497007919158,84.76,85.13,91.76,83.46
sh880971,降解塑料,-0.8504748723333289,1.865217902953753,6.174808091339323,5.783390192983351,84.39,91.45,95.51,89.1
sh880594,一带一路,-0.8635497606697129,-0.7882782007806011,1.7881759817243603,-0.8403038907221272,84.01,71.0,36.33,62.78
sh880593,婴童概念,-0.9310845455163475,1.7281669028111457,6.29524573772815,8.630231905413455,83.64,91.08,95.88,94.36
sh880797,虫害防治,-0.9353078721745844,2.409504298706522,5.973035302465846,12.185319774265935,83.27,92.57,93.63,99.25
sh880905,超导概念,-0.9441355375601757,0.9179892716916438,9.040799178414716,10.608379422683534,82.9,86.99,98.88,98.12
sh880749,云游戏,-0.9583962028099857,-1.2018576226061284,4.713691349414395,-13.639398887955934,82.53,64.68,81.65,7.52
sh880706,分散染料,-0.9636253146974472,0.9468188655871179,2.9788770536197884,3.901150611736859,82.16,88.1,55.43,84.96
sh880909,燃料电池,-0.9700423169066053,-1.3504998856926242,4.980240437677286,-0.7333385701300599,81.78,61.34,85.77,63.53
